,"('Projet', 'Coût estimé')","('Projet', 'Coût réel')","('Projet', 'Durée du projet (en jours)')","('Projet', 'Avancement (%)')","('Ressources', 'Quantité des matériaux (kg, m3)')","('Ressources', 'Heures de travail')","('Ressources', 'Nombre d’équipements utilisés')","('Ressources', 'Consommation énergétique (kWh)')","('Caractéristiques bâtiment', 'Surface totale (m²)')","('Caractéristiques bâtiment', 'Nombre d’étages')","('Caractéristiques bâtiment', 'Volume (m3)')","('Caractéristiques bâtiment', 'Hauteur (m)')","('Caractéristiques bâtiment', 'Indice de performance énergétique')","('Caractéristiques bâtiment', 'Consommation énergétique annuelle (kWh)')","('Qualité / Sécurité', 'Nombre d’incidents')","('Qualité / Sécurité', 'Nombre d’accidents')","('Environnement', 'Volume déchets produits (kg)')","('Environnement', 'Émissions CO2 (kg)')","('Environnement', 'Consommation d’eau (m3)')","('Environnement', 'Niveau sonore (dB)')","('Données complémentaires', 'Note satisfaction client (sur une échelle quantitative)')"
"('Caractéristiques bâtiment', 'Volume (m3)')",0.03323167715733442,0.020447376616754494,-0.002568195129075322,0.003303738774734317,0.029174022044458715,0.0005548372904709104,0.0889232823454113,-0.0328155977732849,0.02808153879664138,0.01474667431649475,1.0,0.014908815956776593,-0.017471308802015115,0.009248155016109929,0.04184315058434231,0.05051664656260548,0.062353177967845244,0.033947928730833105,0.043892668408821126,0.017876284247423945,0.01134114580769298
"('Caractéristiques bâtiment', 'Hauteur (m)')",0.025781611840506195,0.013310831448994115,0.03997344423749555,0.0022118896550835506,0.021679164485457324,-0.011056304782338653,0.005956174233280864,-0.014212770570513072,-0.0011513554663143011,-0.014908662975362114,0.014908815956776593,0.9999999999999998,-0.02465276738531605,-0.012785883188738353,-0.06827054810923275,-0.014010791996418154,0.04290439499270671,0.01910920617174786,-0.039758191468365615,-0.052247628779604094,-0.08428339350954074
"('Caractéristiques bâtiment', 'Indice de performance énergétique')",-0.04045752495138977,-0.027527659615471878,-0.052389012152170525,-0.03353042145433041,0.0088462505927113,-0.019088134720095275,-0.06194708958027144,0.002097760508999256,-0.032748973153950124,0.045148331810742924,-0.017471308802015115,-0.02465276738531605,1.0,-0.025515834419523892,-0.0052000541571767,0.0030272675076716228,-0.0020657750589639224,0.022314678247043595,0.02397491045490654,0.0036899319714410604,0.011694339814868386
"('Caractéristiques bâtiment', 'Consommation énergétique annuelle (kWh)')",-0.004982100959935642,0.006477246888468557,-0.03227339954768532,0.01295038470736257,-0.058286361910266184,0.022350093937407278,-0.0015095603437469505,0.013847375650577027,0.041943193637523316,-0.04865248349108363,0.009248155016109929,-0.012785883188738353,-0.025515834419523892,0.9999999999999998,0.004865227473603975,-0.044358597334818575,-0.001743244725087126,0.04824772988100449,-0.019336028638222993,-0.03474393958881446,-0.029021593150754792
"('Qualité / Sécurité', 'Nombre d’incidents')",0.02927254762144774,0.02926800910130002,-0.036108869246684654,0.003338118425540753,0.04000093727348998,-0.007547414690148823,-0.06264310654700102,-0.020429192904735122,-0.04927267940334059,0.02095586067397024,0.04184315058434232,-0.06827054810923275,-0.0052000541571767,0.004865227473603975,0.9999999999999998,-0.04906310528989146,0.015200709249425598,-0.0425288482655849,0.008866266921750831,0.041197401496890766,0.029760018388903086
"('Qualité / Sécurité', 'Nombre d’accidents')",-0.020201777895092865,-0.010042563410817416,-0.014692083158727425,0.007298126457134997,-0.014358952658445626,-0.007029602410960518,-0.03243548352304845,0.002913631354780877,-0.027692159930416925,0.057576258783164115,0.05051664656260548,-0.014010791996418154,0.0030272675076716228,-0.044358597334818575,-0.04906310528989146,1.0,0.051848062105411645,-0.016487626743766845,0.008949329499655073,0.020591525771133858,-0.05289168717169557
"('Environnement', 'Volume déchets produits (kg)')",0.012290991175923345,0.006235402091060758,0.03503359534566416,0.004339866492857613,-0.021019993332062843,0.02377557786652336,0.00830600830588608,-0.05029518663497107,-0.011171857379194244,-0.013857724775257268,0.062353177967845244,0.04290439499270671,-0.0020657750589639224,-0.001743244725087126,0.015200709249425598,0.051848062105411645,1.0,-0.00668386291207101,0.017763901819987896,0.0055656452175697636,-0.0035717385380022314
"('Environnement', 'Émissions CO2 (kg)')",0.021838855268340868,0.020788422910477174,-0.011668699730540891,0.029713611681455376,0.0657420912815634,-0.019197192411832906,0.020718482074041044,0.011553798630890497,-0.03480543614056822,0.06577618916002452,0.033947928730833105,0.01910920617174786,0.022314678247043595,0.04824772988100449,-0.042528848265584895,-0.01648762674376684,-0.00668386291207101,0.9999999999999998,0.011228488252813746,-0.041288809060394914,0.02122523262178406
"('Environnement', 'Consommation d’eau (m3)')",-0.00035534571626526554,-0.010034852685223476,-0.007768318852228254,0.0013963797000137743,0.02350011511849983,0.06843334133435723,-0.014253912016293757,-0.011828851629265983,-0.07034004536843519,0.04890401285727425,0.043892668408821126,-0.039758191468365615,0.02397491045490654,-0.019336028638222993,0.008866266921750831,0.008949329499655073,0.017763901819987896,0.011228488252813746,1.0,0.03922184715873617,-0.01229928339828723
"('Environnement', 'Niveau sonore (dB)')",0.006425173781670218,0.010847960016884298,-0.08129086527252098,-0.00622927630764152,0.02025525748834731,0.026913198523795652,-0.032572448646100816,0.028774250543104635,-0.015490705677951074,0.047766867188264325,0.017876284247423945,-0.05224762877960409,0.0036899319714410604,-0.03474393958881446,0.041197401496890766,0.02059152577113386,0.0055656452175697636,-0.041288809060394914,0.03922184715873617,0.9999999999999998,-0.0215367996874723
"('Données complémentaires', 'Note satisfaction client (sur une échelle quantitative)')",-0.0053362030577880715,-0.010036032016974084,-0.012305713886428354,0.06533217373209108,-0.02917968790587138,0.022386874759379727,-0.008932967693291655,-0.021454302726435087,-0.0004074971827271835,0.014699223192290297,0.01134114580769298,-0.08428339350954074,0.011694339814868386,-0.029021593150754792,0.029760018388903086,-0.052891687171695574,-0.0035717385380022314,0.02122523262178406,-0.01229928339828723,-0.0215367996874723,0.9999999999999998
